Source,BGC,SS_NoSpace,Edatopic,Use
BECv10,SWBun,SWBun/h,D6,D6
BECv10,SWBun,SWBun/m,C4,C4
BECv10,SWBuns,SWBuns/00,B2,B2
BECv10,SWBuns,SWBuns/00,C4,C4
BECv10,SWBuns,SWBuns/00,D6,D6
BECv10,SWBvk,SWBvk/d,B2,B2
BECv10,SWBvk,SWBvk/h,D6,D6
BECv10,SWBvk,SWBvk/m,C4,C4
BECv10,SWBvks,SWBvks/00,B2,B2
BECv10,SWBvks,SWBvks/00,C4,C4
BECv10,SWBvks,SWBvks/00,D6,D6
USA_2019,WJPxm_OR,WJPxm_OR/101,C4,C4
USA_2019,WJPxm_OR,WJPxm_OR/103,B2,B2
USA_2019,WJPxm_OR,WJPxm_OR/111,D6,D6
